                       Resultados das barras
Barra | Modulo (PU) |  Angulo (o) | Modulo da tensao (V)
    0 |    0.991567 |     -0.7773 |        7900.246
    1 |    0.972616 |     -1.9711 |         123.539
    2 |    0.969477 |     -2.3034 |         123.140
    3 |    0.991906 |     -0.7744 |        7902.942
    4 |    0.991655 |     -0.7769 |        7900.942
    5 |    0.991470 |     -0.7786 |        7899.469
    6 |    0.991351 |     -0.7797 |        7898.523
    7 |    0.991286 |     -0.7803 |        7898.003
    8 |    0.991817 |     -0.7749 |        7902.234
    9 |    0.991578 |     -0.7771 |        7900.334
   10 |    0.991423 |     -0.7782 |        7899.098
   11 |    0.970124 |     -2.3430 |         123.222
   12 |    0.991397 |     -0.7789 |        7898.893
   13 |    0.969914 |     -2.3439 |         123.196
   14 |    0.991288 |     -0.7794 |        7898.024
   15 |    0.991251 |     -0.7796 |        7897.724
   16 |    0.972749 |     -1.9698 |         123.556
   17 |    0.969556 |     -2.3027 |         123.150
   18 |    0.972579 |     -1.9714 |         123.534
   19 |    0.991905 |     -0.7744 |        7902.941
   20 |    0.991667 |     -0.7766 |        7901.041
   21 |    0.991495 |     -0.7780 |        7899.667
   22 |    0.991376 |     -0.7790 |        7898.721
   23 |    0.991322 |     -0.7794 |        7898.294
   24 |    1.000000 |      0.0000 |       79674.337
   25 |    0.973131 |     -1.9674 |         123.604
   26 |    0.991248 |     -0.7806 |        7897.704
   27 |    0.969835 |     -2.3004 |         123.185
   28 |    0.972731 |     -1.9701 |         123.553
   29 |    0.991182 |     -0.7813 |        7897.177
   30 |    0.969597 |     -2.3468 |         123.155
   31 |    0.969532 |     -2.3476 |         123.147
   32 |    0.991906 |     -0.7744 |        7902.942
   33 |    0.991655 |     -0.7769 |        7900.942
   34 |    0.991469 |     -0.7787 |        7899.463
   35 |    0.991337 |     -0.7801 |        7898.410
   36 |    0.991271 |     -0.7808 |        7897.883
   37 |    0.991818 |     -0.7749 |        7902.244
   38 |    0.991595 |     -0.7768 |        7900.465
   39 |    0.991392 |     -0.7790 |        7898.848
   40 |    0.970053 |     -2.2993 |         123.213
   41 |    0.972918 |     -1.9685 |         123.577
   42 |    0.991272 |     -0.7801 |        7897.894
   43 |    0.991236 |     -0.7801 |        7897.605
   44 |    0.969731 |     -2.3456 |         123.172
   45 |    0.969613 |     -2.3467 |         123.157
   46 |    0.972564 |     -1.9717 |         123.532
   47 |    0.991905 |     -0.7744 |        7902.941
   48 |    0.991666 |     -0.7766 |        7901.034
   49 |    0.991480 |     -0.7784 |        7899.554
   50 |    0.991361 |     -0.7795 |        7898.601
   51 |    0.991307 |     -0.7799 |        7898.174
   52 |    0.992210 |     -0.7716 |        7905.369
   53 |    0.991817 |     -0.7749 |        7902.234
   54 |    0.991596 |     -0.7767 |        7900.472
   55 |    0.970124 |     -2.3429 |         123.222
   56 |    0.991395 |     -0.7787 |        7898.872
   57 |    0.972920 |     -1.9684 |         123.577
   58 |    0.991291 |     -0.7796 |        7898.046
   59 |    0.969665 |     -2.3018 |         123.164
   60 |    0.991208 |     -0.7806 |        7897.382
   61 |    0.972623 |     -1.9710 |         123.540
   62 |    0.969554 |     -2.3471 |         123.150
   63 |    0.991906 |     -0.7744 |        7902.942
   64 |    0.991667 |     -0.7766 |        7901.042
   65 |    0.991482 |     -0.7783 |        7899.568
   66 |    0.991362 |     -0.7794 |        7898.615
   67 |    0.991834 |     -0.7746 |        7902.372
   68 |    0.991296 |     -0.7801 |        7898.089
   69 |    0.991834 |     -0.7746 |        7902.372
   70 |    0.991566 |     -0.7774 |        7900.236
   71 |    0.991381 |     -0.7791 |        7898.763
   72 |    0.973131 |     -1.9675 |         123.604
   73 |    0.969904 |     -2.3441 |         123.194
   74 |    0.991279 |     -0.7798 |        7897.954
   75 |    0.991198 |     -0.7807 |        7897.307
   76 |    0.969726 |     -2.3455 |         123.172


                       Resultados dos trechos
Barra inicial | Barra final | Potencia ativa (kW) | Perda ativa (kW)
            0 |          27 |          117000.533 |       114934.916
            0 |          33 |            -287.864 |            0.024
            1 |          16 |              -0.145 |            0.000
            1 |          17 |               7.355 |            0.041
            1 |          45 |               7.885 |            0.049
            1 |          46 |               0.059 |            0.000
            1 |          74 |           -2017.429 |       114856.235
            2 |          17 |              -0.084 |            0.000
            2 |          18 |              -7.358 |            0.041
            2 |          46 |              -7.339 |            0.041
            2 |          75 |           -2064.034 |       114849.410
            3 |           4 |            1106.332 |            0.253
            3 |          52 |           -1335.627 |            0.372
            3 |          69 |             229.295 |            0.016
            4 |           3 |           -1106.079 |            0.253
            4 |           5 |             811.233 |            0.137
            4 |          70 |             294.846 |            0.025
            5 |           4 |            -811.096 |            0.137
            5 |           6 |             516.410 |            0.056
            5 |          71 |             294.686 |            0.025
            6 |           5 |            -516.354 |            0.056
            6 |           7 |             287.630 |            0.017
            6 |          74 |             228.724 |            0.016
            7 |           6 |            -287.612 |            0.017
            7 |          75 |             287.612 |            0.024
            8 |          11 |          117066.647 |       114992.679
            8 |          19 |            -295.230 |            0.025
            9 |          13 |          117010.140 |       114937.309
            9 |          20 |            -294.858 |            0.025
           10 |          16 |          116907.612 |       114889.541
           10 |          21 |            -228.862 |            0.016
           11 |           8 |           -2073.968 |       114992.679
           11 |          72 |              -7.844 |            0.049
           11 |          73 |               0.226 |            0.000
           12 |          28 |          116901.478 |       114883.571
           12 |          34 |            -228.764 |            0.016
           13 |           9 |           -2072.832 |       114937.309
           13 |          55 |              -0.216 |            0.000
           13 |          57 |              -7.841 |            0.049
           13 |          76 |               0.202 |            0.000
           14 |          17 |          116934.784 |       114870.302
           14 |          22 |            -287.752 |            0.024
           15 |          18 |          116866.977 |       114849.597
           15 |          23 |            -228.798 |            0.016
           16 |           1 |               0.145 |            0.000
           16 |          10 |           -2018.070 |       114889.541
           16 |          57 |              -0.185 |            0.000
           16 |          59 |               7.382 |            0.041
           16 |          76 |               7.906 |            0.049
           17 |           1 |              -7.314 |            0.041
           17 |           2 |               0.084 |            0.000
           17 |          14 |           -2064.482 |       114870.302
           17 |          59 |              -0.118 |            0.000
           17 |          61 |              -7.321 |            0.041
           18 |           2 |               7.399 |            0.041
           18 |          15 |           -2017.380 |       114849.597
           18 |          61 |              -0.047 |            0.000
           18 |          62 |               7.907 |            0.049
           19 |           8 |             295.255 |            0.025
           19 |          20 |            1040.765 |            0.228
           19 |          52 |           -1336.020 |            0.373
           20 |           9 |             294.883 |            0.025
           20 |          19 |           -1040.537 |            0.228
           20 |          21 |             745.654 |            0.119
           21 |          10 |             228.878 |            0.016
           21 |          20 |            -745.536 |            0.119
           21 |          22 |             516.658 |            0.056
           22 |          14 |             287.776 |            0.024
           22 |          21 |            -516.601 |            0.056
           22 |          23 |             228.826 |            0.011
           23 |          15 |             228.814 |            0.016
           23 |          22 |            -228.814 |            0.011
           24 |          52 |            6680.793 |           -0.000
           25 |          40 |               7.381 |            0.041
           25 |          55 |               7.893 |            0.049
           25 |          57 |               0.216 |            0.000
           25 |          67 |           -2019.886 |       114984.879
           26 |          30 |          116932.123 |       114860.754
           26 |          35 |            -294.555 |            0.025
           27 |           0 |           -2065.617 |       114934.916
           27 |          40 |              -0.224 |            0.000
           27 |          41 |              -7.341 |            0.041
           27 |          57 |              -7.346 |            0.041
           27 |          59 |               0.182 |            0.000
           28 |          12 |           -2017.907 |       114883.571
           28 |          41 |              -0.201 |            0.000
           28 |          44 |               7.882 |            0.049
           28 |          59 |               7.362 |            0.041
           28 |          61 |               0.117 |            0.000
           29 |          31 |          116916.538 |       114845.443
           29 |          36 |            -294.519 |            0.025
           30 |          26 |           -2071.369 |       114860.754
           30 |          44 |              -0.145 |            0.000
           30 |          61 |              -7.859 |            0.049
           30 |          62 |               0.046 |            0.000
           31 |          29 |           -2071.096 |       114845.443
           31 |          45 |              -0.089 |            0.000
           31 |          46 |              -7.865 |            0.049
           32 |          33 |            1106.272 |            0.253
           32 |          52 |           -1335.562 |            0.372
           32 |          67 |             229.290 |            0.016
           33 |           0 |             287.888 |            0.024
           33 |          32 |           -1106.019 |            0.253
           33 |          34 |             818.131 |            0.139
           34 |          12 |             228.780 |            0.016
           34 |          33 |            -817.992 |            0.139
           34 |          35 |             589.212 |            0.071
           35 |          26 |             294.580 |            0.025
           35 |          34 |            -589.142 |            0.071
           35 |          36 |             294.562 |            0.018
           36 |          29 |             294.544 |            0.025
           36 |          35 |            -294.544 |            0.018
           37 |          40 |          117059.994 |       114993.166
           37 |          47 |            -288.280 |            0.024
           38 |          41 |          116948.086 |       114929.308
           38 |          48 |            -228.948 |            0.016
           39 |          44 |          116966.090 |       114894.063
           39 |          49 |            -294.724 |            0.025
           40 |          25 |              -7.340 |            0.041
           40 |          27 |               0.224 |            0.000
           40 |          37 |           -2066.828 |       114993.166
           40 |          72 |              -7.339 |            0.041
           41 |          27 |               7.382 |            0.041
           41 |          28 |               0.201 |            0.000
           41 |          38 |           -2018.778 |       114929.308
           41 |          72 |              -0.220 |            0.000
           41 |          73 |               7.897 |            0.049
           42 |          45 |          116937.860 |       114866.334
           42 |          50 |            -294.654 |            0.025
           43 |          46 |          116863.415 |       114846.117
           43 |          51 |            -228.768 |            0.016
           44 |          28 |              -7.832 |            0.049
           44 |          30 |               0.145 |            0.000
           44 |          39 |           -2072.027 |       114894.063
           44 |          73 |              -0.188 |            0.000
           45 |           1 |              -7.835 |            0.049
           45 |          31 |               0.089 |            0.000
           45 |          42 |           -2071.526 |       114866.334
           45 |          76 |              -0.125 |            0.000
           46 |           1 |              -0.059 |            0.000
           46 |           2 |               7.380 |            0.041
           46 |          31 |               7.915 |            0.049
           46 |          43 |           -2017.298 |       114846.117
           47 |          37 |             288.304 |            0.024
           47 |          48 |            1047.614 |            0.230
           47 |          52 |           -1335.917 |            0.373
           48 |          38 |             228.964 |            0.016
           48 |          47 |           -1047.384 |            0.230
           48 |          49 |             818.419 |            0.139
           49 |          39 |             294.748 |            0.025
           49 |          48 |            -818.281 |            0.139
           49 |          50 |             523.532 |            0.057
           50 |          42 |             294.679 |            0.025
           50 |          49 |            -523.475 |            0.057
           50 |          51 |             228.796 |            0.011
