                       Resultados das barras
Barra | Modulo (PU) |  Angulo (o) | Modulo da tensao (V)
    0 |    1.000000 |      0.0000 |        7967.434
    1 |    0.950002 |     -1.6971 |        7569.075
    2 |    0.949941 |     -1.6978 |        7568.594
    3 |    0.949887 |     -1.6984 |        7568.164
    4 |    0.949870 |     -1.6986 |        7568.024
    5 |    0.949838 |     -1.6990 |        7567.774
    6 |    0.949760 |     -1.6993 |        7567.146
    7 |    0.949836 |     -1.6990 |        7567.759
    8 |    0.949379 |     -1.6999 |        7564.111
    9 |    0.950029 |     -1.6861 |        7569.296
   10 |    0.950023 |     -1.6860 |        7569.246
   11 |    0.950044 |     -1.6862 |        7569.410
   12 |    0.950061 |     -1.6863 |        7569.545
   13 |    0.950103 |     -1.6868 |        7569.881
   14 |    0.950099 |     -1.6868 |        7569.854
   15 |    0.950096 |     -1.6868 |        7569.827
   16 |    0.950092 |     -1.6869 |        7569.799
   17 |    0.950089 |     -1.6869 |        7569.768
   18 |    0.950083 |     -1.6869 |        7569.727
   19 |    0.950080 |     -1.6869 |        7569.698
   20 |    0.950121 |     -1.6868 |        7570.029
   21 |    0.950130 |     -1.6869 |        7570.100
   22 |    0.950170 |     -1.6845 |        7570.414
   23 |    0.950778 |     -1.6534 |        7575.263
   24 |    0.950785 |     -1.6534 |        7575.315
   25 |    0.950785 |     -1.6534 |        7575.315
   26 |    0.949553 |     -1.6991 |        7565.500
   27 |    0.949553 |     -1.6991 |        7565.500
   28 |    0.949553 |     -1.6991 |        7565.500
   29 |    0.949553 |     -1.6991 |        7565.500
   30 |    0.949553 |     -1.6991 |        7565.500
   31 |    0.949615 |     -1.6988 |        7565.996
   32 |    0.949603 |     -1.6989 |        7565.898
   33 |    0.949594 |     -1.6989 |        7565.829
   34 |    0.949594 |     -1.6989 |        7565.829
   35 |    0.949594 |     -1.6989 |        7565.829
   36 |    0.949583 |     -1.6990 |        7565.737
   37 |    0.950284 |     -1.6739 |        7571.321
   38 |    0.950281 |     -1.6739 |        7571.298
   39 |    0.950278 |     -1.6739 |        7571.274
   40 |    0.950274 |     -1.6739 |        7571.249
   41 |    0.949594 |     -1.6989 |        7565.829
   42 |    0.950271 |     -1.6739 |        7571.218
   43 |    0.950267 |     -1.6739 |        7571.192
   44 |    0.950264 |     -1.6738 |        7571.165
   45 |    0.950261 |     -1.6738 |        7571.142
   46 |    0.949594 |     -1.6989 |        7565.829
   47 |    0.949670 |     -1.6986 |        7566.435
   48 |    0.949566 |     -1.6990 |        7565.607
   49 |    0.949560 |     -1.6991 |        7565.559
   50 |    0.949361 |     -1.7000 |        7563.972
   51 |    0.949358 |     -1.7000 |        7563.950
   52 |    0.950075 |     -1.6864 |        7569.659
   53 |    0.950089 |     -1.6865 |        7569.775
   54 |    0.950089 |     -1.6865 |        7569.775
   55 |    0.950089 |     -1.6865 |        7569.775
   56 |    0.950112 |     -1.6867 |        7569.952
   57 |    0.950108 |     -1.6867 |        7569.921
   58 |    0.950772 |     -1.6533 |        7575.211
   59 |    0.950765 |     -1.6533 |        7575.156
   60 |    0.950758 |     -1.6532 |        7575.104
   61 |    0.950752 |     -1.6532 |        7575.056
   62 |    0.950745 |     -1.6531 |        7575.000
   63 |    0.949356 |     -1.7000 |        7563.932
   64 |    0.949379 |     -1.6999 |        7564.111
   65 |    0.949376 |     -1.6999 |        7564.094
   66 |    0.949358 |     -1.7000 |        7563.949
   67 |    0.949355 |     -1.7001 |        7563.926
   68 |    0.951517 |     -1.6230 |        7581.149
   69 |    0.951547 |     -1.6207 |        7581.391
   70 |    0.949379 |     -1.6999 |        7564.111
   71 |    0.949358 |     -1.7000 |        7563.950
   72 |    0.949560 |     -1.6991 |        7565.559
   73 |    0.949560 |     -1.6991 |        7565.559
   74 |    0.951443 |     -1.6286 |        7580.557
   75 |    0.950278 |     -1.6739 |        7571.274
   76 |    0.950274 |     -1.6739 |        7571.249
   77 |    0.951352 |     -1.6322 |        7579.835
   78 |    0.951304 |     -1.6341 |        7579.453
   79 |    0.951291 |     -1.6340 |        7579.350
   80 |    0.951278 |     -1.6339 |        7579.243
   81 |    0.951265 |     -1.6338 |        7579.143
   82 |    0.951254 |     -1.6337 |        7579.051
   83 |    0.949497 |     -1.6994 |        7565.058
   84 |    0.949447 |     -1.6996 |        7564.653
   85 |    0.949398 |     -1.6998 |        7564.270
   86 |    0.949383 |     -1.6999 |        7564.148
   87 |    0.949380 |     -1.6999 |        7564.126
   88 |    0.949374 |     -1.6999 |        7564.073
   89 |    0.949368 |     -1.7000 |        7564.025
   90 |    0.949363 |     -1.7000 |        7563.989
   91 |    0.950082 |     -1.6905 |        7569.713
   92 |    0.950035 |     -1.6940 |        7569.338
   93 |    0.950007 |     -1.6859 |        7569.118
   94 |    0.950015 |     -1.6859 |        7569.180
   95 |    0.951218 |     -1.6377 |        7578.764
   96 |    0.951096 |     -1.6399 |        7577.795
   97 |    0.951015 |     -1.6433 |        7577.148
