                       Resultados das barras
Barra | Modulo (PU) |  Angulo (o) | Modulo da tensao (V)
    0 |    1.000000 |      0.0000 |        7967.434
    1 |    0.951358 |     -1.6723 |        7579.878
    2 |    0.951298 |     -1.6730 |        7579.404
    3 |    0.951245 |     -1.6736 |        7578.981
    4 |    0.951228 |     -1.6738 |        7578.843
    5 |    0.951197 |     -1.6742 |        7578.596
    6 |    0.951119 |     -1.6745 |        7577.977
    7 |    0.951195 |     -1.6742 |        7578.581
    8 |    0.950743 |     -1.6751 |        7574.981
    9 |    0.951385 |     -1.6614 |        7580.094
   10 |    0.951378 |     -1.6613 |        7580.045
   11 |    0.951398 |     -1.6615 |        7580.204
   12 |    0.951415 |     -1.6616 |        7580.335
   13 |    0.951456 |     -1.6620 |        7580.660
   14 |    0.951452 |     -1.6621 |        7580.635
   15 |    0.951449 |     -1.6621 |        7580.608
   16 |    0.951446 |     -1.6621 |        7580.581
   17 |    0.951442 |     -1.6622 |        7580.552
   18 |    0.951437 |     -1.6622 |        7580.512
   19 |    0.951434 |     -1.6622 |        7580.484
   20 |    0.951474 |     -1.6621 |        7580.803
   21 |    0.951482 |     -1.6621 |        7580.872
   22 |    0.951520 |     -1.6597 |        7581.176
   23 |    0.952110 |     -1.6288 |        7585.878
   24 |    0.952117 |     -1.6289 |        7585.929
   25 |    0.952117 |     -1.6289 |        7585.929
   26 |    0.950915 |     -1.6744 |        7576.353
   27 |    0.950915 |     -1.6744 |        7576.353
   28 |    0.950915 |     -1.6744 |        7576.353
   29 |    0.950915 |     -1.6744 |        7576.353
   30 |    0.950915 |     -1.6744 |        7576.353
   31 |    0.950977 |     -1.6741 |        7576.843
   32 |    0.950964 |     -1.6741 |        7576.747
   33 |    0.950956 |     -1.6742 |        7576.679
   34 |    0.950956 |     -1.6742 |        7576.679
   35 |    0.950956 |     -1.6742 |        7576.679
   36 |    0.950945 |     -1.6742 |        7576.588
   37 |    0.951630 |     -1.6493 |        7582.051
   38 |    0.951627 |     -1.6493 |        7582.028
   39 |    0.951624 |     -1.6493 |        7582.005
   40 |    0.951621 |     -1.6492 |        7581.981
   41 |    0.950956 |     -1.6742 |        7576.679
   42 |    0.951618 |     -1.6492 |        7581.951
   43 |    0.951614 |     -1.6492 |        7581.925
   44 |    0.951611 |     -1.6492 |        7581.899
   45 |    0.951608 |     -1.6492 |        7581.876
   46 |    0.950956 |     -1.6742 |        7576.679
   47 |    0.951031 |     -1.6738 |        7577.276
   48 |    0.950929 |     -1.6743 |        7576.461
   49 |    0.950923 |     -1.6743 |        7576.413
   50 |    0.950726 |     -1.6752 |        7574.843
   51 |    0.950723 |     -1.6752 |        7574.821
   52 |    0.951429 |     -1.6617 |        7580.445
   53 |    0.951443 |     -1.6618 |        7580.557
   54 |    0.951443 |     -1.6618 |        7580.557
   55 |    0.951443 |     -1.6618 |        7580.557
   56 |    0.951464 |     -1.6620 |        7580.728
   57 |    0.951460 |     -1.6620 |        7580.699
   58 |    0.952104 |     -1.6288 |        7585.827
   59 |    0.952098 |     -1.6287 |        7585.774
   60 |    0.952091 |     -1.6287 |        7585.723
   61 |    0.952085 |     -1.6286 |        7585.676
   62 |    0.952078 |     -1.6286 |        7585.622
   63 |    0.950721 |     -1.6752 |        7574.804
   64 |    0.950743 |     -1.6751 |        7574.981
   65 |    0.950741 |     -1.6752 |        7574.962
   66 |    0.950722 |     -1.6752 |        7574.819
   67 |    0.950720 |     -1.6753 |        7574.797
   68 |    0.952828 |     -1.5987 |        7591.592
   69 |    0.952857 |     -1.5964 |        7591.825
   70 |    0.950743 |     -1.6751 |        7574.981
   71 |    0.950723 |     -1.6752 |        7574.821
   72 |    0.950923 |     -1.6743 |        7576.413
   73 |    0.950923 |     -1.6743 |        7576.413
   74 |    0.952756 |     -1.6041 |        7591.021
   75 |    0.951624 |     -1.6493 |        7582.005
   76 |    0.951621 |     -1.6492 |        7581.981
   77 |    0.952668 |     -1.6077 |        7590.321
   78 |    0.952622 |     -1.6096 |        7589.949
   79 |    0.952609 |     -1.6095 |        7589.849
   80 |    0.952596 |     -1.6094 |        7589.746
   81 |    0.952584 |     -1.6094 |        7589.649
   82 |    0.952573 |     -1.6093 |        7589.560
   83 |    0.950860 |     -1.6746 |        7575.917
   84 |    0.950810 |     -1.6748 |        7575.515
   85 |    0.950762 |     -1.6751 |        7575.136
   86 |    0.950747 |     -1.6751 |        7575.016
   87 |    0.950745 |     -1.6751 |        7574.995
   88 |    0.950738 |     -1.6752 |        7574.942
   89 |    0.950732 |     -1.6752 |        7574.895
   90 |    0.950728 |     -1.6752 |        7574.859
   91 |    0.951435 |     -1.6657 |        7580.497
   92 |    0.951390 |     -1.6692 |        7580.134
   93 |    0.951363 |     -1.6612 |        7579.921
   94 |    0.951370 |     -1.6613 |        7579.981
   95 |    0.952538 |     -1.6132 |        7589.280
   96 |    0.952419 |     -1.6154 |        7588.336
   97 |    0.952340 |     -1.6188 |        7587.707
   98 |    0.952338 |     -1.6188 |        7587.694
   99 |    0.952045 |     -1.6322 |        7585.359
  100 |    0.951985 |     -1.6350 |        7584.880
  101 |    0.951910 |     -1.6386 |        7584.279
  102 |    0.951902 |     -1.6387 |        7584.218
  103 |    0.951895 |     -1.6387 |        7584.164
  104 |    0.951888 |     -1.6387 |        7584.105
  105 |    0.951882 |     -1.6387 |        7584.055
  106 |    0.951875 |     -1.6388 |        7584.000
  107 |    0.951868 |     -1.6388 |        7583.942
  108 |    0.951861 |     -1.6388 |        7583.887
  109 |    0.951855 |     -1.6388 |        7583.840
  110 |    0.956217 |     -1.3104 |        7618.595
  111 |    0.951561 |     -1.6566 |        7581.498
  112 |    0.951554 |     -1.6566 |        7581.441
  113 |    0.951544 |     -1.6566 |        7581.360
  114 |    0.951553 |     -1.6566 |        7581.437
  115 |    0.951534 |     -1.6565 |        7581.282
  116 |    0.951633 |     -1.6493 |        7582.070
  117 |    0.951635 |     -1.6493 |        7582.090
  118 |    0.951638 |     -1.6493 |        7582.113
  119 |    0.951640 |     -1.6493 |        7582.132
  120 |    0.951651 |     -1.6493 |        7582.217
  121 |    0.951662 |     -1.6493 |        7582.302
  122 |    0.951678 |     -1.6494 |        7582.428
  123 |    0.951836 |     -1.6424 |        7583.688
  124 |    0.951770 |     -1.6458 |        7583.168
  125 |    0.951698 |     -1.6495 |        7582.593
  126 |    0.951638 |     -1.6528 |        7582.114
  127 |    0.951570 |     -1.6566 |        7581.575
  128 |    0.952928 |     -1.5910 |        7592.391
  129 |    0.950915 |     -1.6744 |        7576.353
  130 |    0.950915 |     -1.6744 |        7576.353
  131 |    0.952200 |     -1.6251 |        7586.595
  132 |    0.952268 |     -1.6221 |        7587.134
  133 |    0.950934 |     -1.6743 |        7576.501
  134 |    0.951855 |     -1.6414 |        7583.841
  135 |    0.952958 |     -1.5888 |        7592.626
  136 |    0.953002 |     -1.1889 |        7592.979
  137 |    0.952999 |     -1.1888 |        7592.956
  138 |    0.952973 |     -1.1887 |        7592.749
  139 |    0.952903 |     -1.1882 |        7592.189
  140 |    0.952921 |     -1.1884 |        7592.338
  141 |    0.952889 |     -1.1881 |        7592.077
  142 |    0.952998 |     -1.1889 |        7592.946
  143 |    0.953028 |     -1.1891 |        7593.186
  144 |    0.953028 |     -1.1891 |        7593.186
  145 |    0.953028 |     -1.1891 |        7593.186
  146 |    0.953032 |     -1.1891 |        7593.218
  147 |    0.952984 |     -1.1887 |        7592.839
  148 |    0.952985 |     -1.1887 |        7592.845
  149 |    0.952986 |     -1.1887 |        7592.850
  150 |    0.974890 |     -0.6656 |        7767.373
  151 |    0.974890 |     -0.6656 |        7767.373
  152 |    0.974797 |     -0.6675 |        7766.630
  153 |    0.974797 |     -0.6675 |        7766.630
  154 |    0.974797 |     -0.6675 |        7766.630
  155 |    0.953025 |     -1.1890 |        7593.165
  156 |    0.953017 |     -1.1890 |        7593.102
  157 |    0.953017 |     -1.1890 |        7593.102
  158 |    0.953003 |     -1.1889 |        7592.989
  159 |    0.952986 |     -1.1887 |        7592.856
  160 |    0.952987 |     -1.1888 |        7592.861
  161 |    0.994721 |     -0.2733 |        7925.370
  162 |    0.994721 |     -0.2733 |        7925.370
  163 |    0.994721 |     -0.2733 |        7925.370
  164 |    0.994721 |     -0.2733 |        7925.370
  165 |    0.995825 |     -0.2612 |        7934.172
  166 |    0.995931 |     -0.2548 |        7935.012
  167 |    0.994539 |     -0.2710 |        7923.926
  168 |    0.994514 |     -0.2708 |        7923.727
  169 |    0.952082 |     -1.1816 |        7585.648
  170 |    0.952090 |     -1.1816 |        7585.710
  171 |    0.961721 |     -1.0666 |        7662.449
  172 |    0.961721 |     -1.0666 |        7662.449
  173 |    0.961721 |     -1.0666 |        7662.449
  174 |    0.961721 |     -1.0666 |        7662.449
  175 |    0.961721 |     -1.0666 |        7662.449
  176 |    0.961721 |     -1.0666 |        7662.449
  177 |    0.953088 |     -1.1895 |        7593.664
  178 |    0.953056 |     -1.1893 |        7593.409
  179 |    0.994786 |     -0.2726 |        7925.889
  180 |    0.952997 |     -1.1888 |        7592.937
  181 |    0.952996 |     -1.1888 |        7592.932
  182 |    0.953027 |     -1.1890 |        7593.180
  183 |    0.995783 |     -0.2637 |        7933.837
  184 |    0.995768 |     -0.2639 |        7933.714
  185 |    0.995745 |     -0.2641 |        7933.531
  186 |    0.995513 |     -0.2688 |        7931.686
  187 |    0.995100 |     -0.2766 |        7928.393
  188 |    0.995722 |     -0.2643 |        7933.351
  189 |    0.994697 |     -0.2841 |        7925.183
  190 |    0.995700 |     -0.2645 |        7933.173
  191 |    0.994295 |     -0.2917 |        7921.980
  192 |    0.995677 |     -0.2647 |        7932.989
  193 |    0.993882 |     -0.2995 |        7918.688
  194 |    0.995660 |     -0.2648 |        7932.853
  195 |    0.993577 |     -0.3053 |        7916.256
  196 |    0.995638 |     -0.2650 |        7932.679
  197 |    0.993186 |     -0.3127 |        7913.141
  198 |    0.995615 |     -0.2652 |        7932.496
  199 |    0.992774 |     -0.3204 |        7909.861
  200 |    0.995592 |     -0.2654 |        7932.315
  201 |    0.992368 |     -0.3281 |        7906.623
  202 |    0.995570 |     -0.2656 |        7932.136
  203 |    0.991967 |     -0.3357 |        7903.430
  204 |    0.995547 |     -0.2659 |        7931.954
  205 |    0.991557 |     -0.3435 |        7900.164
  206 |    0.995524 |     -0.2661 |        7931.774
  207 |    0.991154 |     -0.3512 |        7896.952
  208 |    0.995502 |     -0.2663 |        7931.595
  209 |    0.990751 |     -0.3588 |        7893.741
  210 |    0.995481 |     -0.2664 |        7931.432
  211 |    0.990384 |     -0.3658 |        7890.820
  212 |    0.995473 |     -0.2665 |        7931.362
  213 |    0.990229 |     -0.3687 |        7889.584
  214 |    0.995459 |     -0.2667 |        7931.250
  215 |    0.989977 |     -0.3735 |        7887.579
  216 |    0.995436 |     -0.2669 |        7931.071
  217 |    0.989574 |     -0.3812 |        7884.363
  218 |    0.995413 |     -0.2671 |        7930.888
  219 |    0.989164 |     -0.3890 |        7881.099
  220 |    0.995391 |     -0.2673 |        7930.712
  221 |    0.988769 |     -0.3965 |        7877.954
  222 |    0.995369 |     -0.2675 |        7930.535
  223 |    0.988371 |     -0.4041 |        7874.780
  224 |    0.995346 |     -0.2677 |        7930.353
  225 |    0.987962 |     -0.4120 |        7871.523
  226 |    0.995323 |     -0.2679 |        7930.171
  227 |    0.987553 |     -0.4198 |        7868.267
  228 |    0.995301 |     -0.2681 |        7929.998
  229 |    0.987167 |     -0.4272 |        7865.185
  230 |    0.995282 |     -0.2683 |        7929.845
  231 |    0.986823 |     -0.4337 |        7862.448
  232 |    0.995260 |     -0.2685 |        7929.669
  233 |    0.986426 |     -0.4414 |        7859.288
  234 |    0.995237 |     -0.2687 |        7929.488
  235 |    0.986023 |     -0.4491 |        7856.070
  236 |    0.995217 |     -0.2688 |        7929.325
  237 |    0.985657 |     -0.4561 |        7853.156
  238 |    0.995200 |     -0.2690 |        7929.191
  239 |    0.985358 |     -0.4619 |        7850.773
  240 |    0.995183 |     -0.2691 |        7929.057
  241 |    0.985058 |     -0.4677 |        7848.382
  242 |    0.995160 |     -0.2694 |        7928.874
  243 |    0.984649 |     -0.4755 |        7845.128
  244 |    0.995138 |     -0.2696 |        7928.696
  245 |    0.984250 |     -0.4832 |        7841.950
  246 |    0.995115 |     -0.2698 |        7928.516
